,Unnamed: 0,Sample_ID,Time,Day,Month,Year,Depth_ft,Unnamed: 6,Unnamed: 7,hour,minute,dt,lat,lon,name,DisplayColor,Distance,ele,time,SHOREDIST
0,0,CEB15_T01,11:31,20,1,2016,,,,11,31,2016-01-20 11:31:00+08:00,10.2448803093,123.9650049526,2016-01-20 12:09:59,Cyan,632.0,3.5,2016-01-20T03:30:56Z,992.5150146484375
1,1,CEB15_T02,11:37,20,1,2016,10.0,,,11,37,2016-01-20 11:37:00+08:00,10.2449258231,123.9650122449,2016-01-20 12:09:59,Cyan,632.0,4.46,2016-01-20T03:37:03Z,992.5150146484375
2,2,CEB15_T03,14:07,20,1,2016,,,NOT SURE,14,7,2016-01-20 14:07:00+08:00,10.2450106479,123.9636996388,A016-01-20 16:06:54,Cyan,753.0,8.79,2016-01-20T06:26:25Z,809.4494018554688
3,3,CEB16_T01,13:06,22,1,2016,10.0,,,13,6,2016-01-22 13:06:00+08:00,10.2234126627,123.9166356716,2016-01-22 14:14:13,Cyan,1988.0,7.83,2016-01-22T05:06:04Z,2560.348388671875
4,4,CEB16_T02,13:11,22,1,2016,,,,13,11,2016-01-22 13:11:00+08:00,10.2233844995,123.9166603144,2016-01-22 14:14:13,Cyan,1988.0,7.83,2016-01-22T05:11:04Z,2560.348388671875
5,5,CEB16_T03,13:16,22,1,2016,,,,13,16,2016-01-22 13:16:00+08:00,10.22335466,123.9166485798,2016-01-22 14:14:13,Cyan,1988.0,7.83,2016-01-22T05:15:59Z,2560.348388671875
6,6,CEB16_T04,13:21,22,1,2016,,,,13,21,2016-01-22 13:21:00+08:00,10.2233024407,123.9166399464,2016-01-22 14:14:13,Cyan,1988.0,8.31,2016-01-22T05:21:08Z,2560.348388671875
7,7,CEB16_T05,13:31,22,1,2016,,,,13,31,2016-01-22 13:31:00+08:00,10.2231981698,123.9167971909,2016-01-22 14:14:13,Cyan,1988.0,6.87,2016-01-22T05:31:07Z,2560.348388671875
8,8,CEB16_T06,13:36,22,1,2016,,,,13,36,2016-01-22 13:36:00+08:00,10.2232047915,123.9168242645,2016-01-22 14:14:13,Cyan,1988.0,6.87,2016-01-22T05:35:56Z,2560.348388671875
9,9,CEB16_T07,13:43,22,1,2016,,,,13,43,2016-01-22 13:43:00+08:00,10.2233248204,123.9168172237,2016-01-22 14:14:13,Cyan,1988.0,6.39,2016-01-22T05:43:01Z,2560.348388671875
10,10,CEB16_T08,13:46,22,1,2016,,,,13,46,2016-01-22 13:46:00+08:00,10.2233214676,123.9168189839,2016-01-22 14:14:13,Cyan,1988.0,6.87,2016-01-22T05:46:05Z,2560.348388671875
11,11,CEB16_T09,13:51,22,1,2016,,,,13,51,2016-01-22 13:51:00+08:00,10.2234045323,123.9168230072,2016-01-22 14:14:13,Cyan,1988.0,5.42,2016-01-22T05:51:09Z,2560.348388671875
12,12,CEB16_T10,13:57,22,1,2016,,,,13,57,2016-01-22 13:57:00+08:00,10.2234053705,123.916982431,2016-01-22 14:14:13,Cyan,1988.0,5.42,2016-01-22T05:57:05Z,2560.348388671875
13,13,CEB16_T11,14:02,22,1,2016,,,,14,2,2016-01-22 14:02:00+08:00,10.2234096453,123.9170659985,2016-01-22 14:14:13,Cyan,1988.0,5.42,2016-01-22T06:02:07Z,2560.348388671875
14,14,CEB16_T12,14:05,22,1,2016,,,,14,5,2016-01-22 14:05:00+08:00,10.2233952284,123.9171240013,2016-01-22 14:14:13,Cyan,1988.0,5.42,2016-01-22T06:05:05Z,2560.348388671875
15,15,CEB16_T13,14:41,22,1,2016,,,,14,41,2016-01-22 14:41:00+08:00,10.2235869225,123.9196103252,2016-01-22 15:44:46,Cyan,695.0,5.91,2016-01-22T06:40:54Z,2569.70556640625
16,16,CEB16_T14,14:48,22,1,2016,,,,14,48,2016-01-22 14:48:00+08:00,10.223553814,123.9197839145,2016-01-22 15:45:00,Cyan,695.0,6.39,2016-01-22T06:48:08Z,2569.70556640625
17,17,CEB16_T15,14:53,22,1,2016,,,,14,53,2016-01-22 14:53:00+08:00,10.2235284168,123.9198460244,2016-01-22 15:44:46,Cyan,695.0,7.35,2016-01-22T06:52:58Z,2569.70556640625
18,18,CEB16_T16,14:58,22,1,2016,,,,14,58,2016-01-22 14:58:00+08:00,10.2235892694,123.9198904485,2016-01-22 15:45:00,Cyan,695.0,6.87,2016-01-22T06:57:56Z,2569.70556640625
19,19,CEB16_T17,15:04,22,1,2016,,,,15,4,2016-01-22 15:04:00+08:00,10.2236036025,123.9199599344,2016-01-22 15:44:46,Cyan,695.0,7.35,2016-01-22T07:04:06Z,2569.70556640625
20,20,CEB16_T18,15:10,22,1,2016,,,,15,10,2016-01-22 15:10:00+08:00,10.2235861681,123.9200977329,2016-01-22 15:45:00,Cyan,695.0,8.31,2016-01-22T07:09:57Z,2581.3544921875
21,21,CEB16_T19,15:15,22,1,2016,,,,15,15,2016-01-22 15:15:00+08:00,10.2235722542,123.9201595075,2016-01-22 15:44:46,Cyan,695.0,7.35,2016-01-22T07:14:52Z,2581.3544921875
22,22,CEB16_T20,15:32,22,1,2016,,,,15,32,2016-01-22 15:32:00+08:00,10.2237428259,123.9207842946,2016-01-22 15:45:00,Cyan,695.0,7.35,2016-01-22T07:31:55Z,2581.3544921875
