sample_id	mapped_reads	unmapped_reads
CEB01_T01	2972456	299053
CEB01_T02	1097	357
CEB01_T03	184363	39170
CEB01_T04	317474	103363
CEB01_T05	81787	32324
CEB01_T06	453215	136193
CEB01_T07	1511	513
CEB01_T08	66221	25888
CEB01_T09	247877	77032
CEB01_T10	3156	1092
CEB01_T11	317513	169651
CEB01_T12	170434	183753
CEB01_T13	1012	2676
CEB01_T14	549752	156618
CEB01_T15	3599	3695
CEB01_T16	261975	116152
CEB01_T17	33974	23019
CEB01_T18	538	423
CEB01_T19	517688	67811
CEB01_T20	150	114
CEB02_T01	154	140
CEB02_T02	89147	15586
CEB02_T03	3681	845
CEB02_T04	270548	676049
CEB02_T05	3017	545
CEB02_T06	534	292
CEB02_T07	401614	123726
CEB02_T08	26241	228597
CEB02_T09	601899	100170
CEB03_T01	1852	430
CEB03_T02	11245	2815
CEB03_T03	836	347
CEB03_T05	2441	587
CEB03_T06	84735	56827
CEB03_T07	1030	343
CEB03_T08	5438	4118
CEB03_T09	888	464
CEB03_T10	465162	275268
CEB03_T11	1474	20183
CEB03_T12	360170	43092
CEB03_T13	469988	95208
CEB03_T14	4317	789
CEB03_T15	11591	1325
CEB03_T16	345844	28671
CEB03_T17	429715	50542
CEB03_T18	566	214
CEB03_T19	1073	342
CEB03_T20	1220	508
CEB04_T01	295	289
CEB04_T02	205643	45082
CEB04_T03	734	360
CEB04_T05	787	659
CEB04_T06	32359	25913
CEB04_T07	276	158
CEB04_T08	6199	5201
CEB04_T09	181558	117690
CEB04_T10	796	3394
CEB04_T11	23124	4234
CEB04_T12	325689	59949
CEB04_T13	40960	13677
CEB04_T14	153436	29081
CEB05_T01	211386	141708
CEB05_T02	282504	82788
CEB05_T03	3134	847
CEB05_T05	501	470
CEB05_T06	75075	21168
CEB05_T07	230128	86238
CEB05_T08	12289	1970
CEB05_T09	362458	90801
CEB05_T10	266844	72192
CEB05_T11	385710	114205
CEB05_T12	146816	16060
CEB05_T13	14895	2174
CEB05_T14	342727	29245
CEB05_T15	143418	24250
CEB05_T16	327342	77139
CEB05_T17	113921	19123
CEB05_T18	298	328
CEB05_T19	2476	29912
CEB05_T20	483180	136682
CEB06_T01	170	246
CEB06_T02	1853	591
CEB06_T03	125648	368553
CEB06_T04	865	777
CEB06_T06	28684	14377
CEB06_T07	23105	27929
CEB06_T08	145231	72453
CEB06_T09	303829	81439
CEB06_T10	1048	1259
CEB06_T11	542766	293306
CEB06_T12	982	832
CEB06_T13	36692	56276
CEB06_T14	266542	34269
CEB06_T15	418451	172068
CEB06_T16	279677	132861
CEB06_T17	166583	187523
CEB06_T18	2504	587
CEB06_T19	1850	533
CEB06_T20	4150	1008
CEB07_T01	353	249
CEB07_T02	340534	78875
CEB07_T03	145121	67668
CEB07_T04	8684	2192
CEB07_T06	406657	120834
CEB07_T07	2726	628
CEB07_T08	300084	139811
CEB07_T09	116532	90554
CEB07_T10	238650	82416
CEB07_T11	182027	27791
CEB07_T12	62455	21084
CEB07_T13	8251	970
CEB07_T14	1005790	160801
CEB07_T15	165030	458428
CEB07_T16	3407	17444
CEB07_T17	2329	4555
CEB07_T18	440	640
CEB07_T19	399045	49841
CEB07_T20	294414	37320
CEB08_T01	628	842
CEB08_T02	344472	63251
CEB08_T03	1014	258
CEB08_T04	368699	179304
CEB08_T05	5770	809
CEB08_T06	230161	172803
CEB08_T07	348537	60990
CEB08_T08	222443	21984
CEB08_T09	889	166
CEB08_T10	213942	21366
CEB08_T11	327562	86809
CEB08_T12	445359	68917
CEB08_T13	169823	18939
CEB08_T14	247725	78277
CEB08_T15	2887	9675
CEB08_T16	177400	78315
CEB08_T17	680	223
CEB08_T18	1864	595
CEB08_T19	240220	54633
CEB08_T20	151538	99431
CEB09_T01	45507	4593
CEB09_T02	278448	51126
CEB09_T03	319854	391315
CEB09_T04	91760	14350
CEB09_T05	1996	448
CEB09_T06	10086	3304
CEB09_T07	2568	370
CEB09_T08	36993	17527
CEB09_T09	190179	89426
CEB09_T10	442302	123872
CEB09_T11	254355	138532
CEB09_T12	110717	117197
CEB09_T13	499616	104384
CEB09_T14	95390	74178
CEB09_T15	92091	59983
CEB09_T16	1566740	189858
CEB09_T17	832	378
CEB09_T18	335	271
CEB09_T19	2111	529
CEB09_T20	496	356
CEB10_T01	560	235
CEB10_T02	341493	77030
CEB10_T03	545	428
CEB10_T04	5408	592
CEB10_T05	38386	34085
CEB10_T06	55926	16344
CEB10_T07	1727	957
CEB10_T08	187462	55236
CEB10_T09	568609	275524
CEB10_T10	240636	41601
CEB10_T11	2382	704
CEB10_T12	8117	76445
CEB10_T13	10955	1864
CEB10_T14	29910	117545
CEB10_T15	239974	45717
CEB10_T16	52068	33939
CEB10_T17	687	1177
CEB10_T18	141620	51784
CEB10_T19	1393	17134
CEB10_T20	62985	31048
CEB11_T01	83016	47060
CEB11_T02	403183	55181
CEB11_T03	341055	118806
CEB11_T04	9058	16136
CEB11_T05	733	262
CEB11_T06	278596	203532
CEB11_T07	827232	281515
CEB11_T08	159293	46049
CEB11_T09	216090	58283
CEB11_T10	1275	15765
CEB11_T11	76451	151315
CEB11_T12	347502	64057
CEB11_T13	214200	68345
CEB11_T14	431174	426971
CEB11_T15	42109	10582
CEB11_T16	34530	27415
CEB11_T17	165057	265557
