"","CEB01","CEB02","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB16","CEB18","CEB19","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY11","LEY13","LEY15"
"CEB01",NA,-0.0747720305229921,-0.0244187405070684,-0.00175454027804138,-0.0109535339559551,-0.0104531578137708,0.0133734146919725,0.0212711943158489,0.0593861121707172,0.0378694067532331,-0.0256355454866853,-0.0327444051825676,0.0147961006881168,-0.0149476662736186,0.0375638343474313,0.0207359575787381,0.0272908808520081,0.0161579892280073,0.0411983789622291,0.012645857473151,0.0362988944315579,0.0213654754897013,-0.00538929021901146,-0.0864931846344484,-0.0150181909261561,0.00706091905158102,-0.0123542316129776,0.000228050171037741,0.0156706392678491,0.00779844864235539,0.0247027405609232,-0.0449290906924084,0.0215338234370476,-0.00703370096686378,-0.0516972532085881
"CEB02",-0.0747720305229921,NA,0.0837004405286344,-0.0335071406636761,-0.0505050505050505,0.00752964949842434,-0.0308788598574822,-0.00931505462948514,0.00225255068239039,0.0535100558052169,-0.0166358595194085,-0.0348258706467662,0.040959040959041,-0.191146881287726,0.0049658622939375,-0.0237183776860655,0.0234741784037559,0.00952380952380952,0.0792818765561526,-0.00295515867917252,-0.10873440285205,0.0260733189570673,-0.00483091787439614,-0.00483091787439614,-0.0213278466402368,-0.0421490884930354,-0.130434782608696,-0.0246305418719212,-0.00966421266988443,-0.0430695929159361,-0.0407017886549695,-0.0348258706467662,0.0491740299654245,-0.117238792906517,-0.0196078431372549
"CEB04",-0.0244187405070684,0.0837004405286344,NA,0.0347638998980864,NA,0.0323679727427598,3.56446747837076e-17,-0.0470737913486005,0.0411280846063455,0.0676802354095146,0.0072992700729927,NA,0.0977443609022556,0.0263157894736842,0.0312315851502652,0.112773168166414,NA,NA,0.166482910694598,0.0249433106575964,-0.0543130990415335,0.0792540792540793,NA,NA,-0.0156626506024096,-0.0605714285714285,NA,NA,0.0236734144865155,0.0177287973167227,0.0427917447825659,NA,0.0470446320868516,-0.0364302651433498,NA
"CEB05",-0.00175454027804138,-0.0335071406636761,0.0347638998980864,NA,0.00257430376784468,0.0147997204701953,0.0159455248342206,0.0190630319740347,0.0902476767114377,0.0772019277558155,0.00210162765484678,0.0187636698515023,0.0126443040433863,-0.00363431550483967,0.0342355339023576,0.0667410655856881,0.0975119110640551,0.0344358858178524,0.0746162392800592,0.0398717719884444,0.0522906782977437,0.0236242358455198,-0.0261225472493077,0.000586235197561346,0.0359832342997741,0.00891787553292399,-0.0197392032539777,0.0770896491987874,0.0260425190291714,0.0104930672447442,0.0283538619739507,-0.0204716868191068,0.0884699366860581,0.0206206902516442,0.0620598591549296
"CEB06",-0.0109535339559551,-0.0505050505050505,NA,0.00257430376784468,NA,-0.0203592814371257,-0.101394169835234,0.0231454005934719,0.03886925795053,0.0582115432251673,-0.0501930501930502,NA,0.104477611940299,-0.00338983050847458,-0.0326633165829145,0.0334818586887334,NA,NA,0.0666666666666667,-0.0475030450669915,-0.0927152317880795,-0.0286458333333333,NA,NA,0.00589622641509438,-0.0975753991720875,NA,NA,0.00792728763753158,-0.0298919869379552,-0.0140355326834417,NA,-0.029986962190352,-0.0757355408882424,NA
"CEB07",-0.0104531578137708,0.00752964949842434,0.0323679727427598,0.0147997204701953,-0.0203592814371257,NA,0.0146662818626107,0.0681339047839685,0.0740354535974974,0.0600413921922375,0.0104097309060201,-0.00888099467140316,0.0484032135576961,0.0253740546193892,0.0469416740260705,0.054741860211263,0.0698689956331878,0.0601213458356316,0.0313529520636683,0.0593049457622562,0.0661972725284494,0.049348306290261,0.0195627157652474,-0.0643347907557776,-0.00117456729384127,0.0237503247963022,-0.0148898153662894,0.0491071428571429,0.0340423202921201,0.0218469666951862,0.0474766175026408,-0.00888099467140317,0.0434926409789979,0.022338825607612,-0.0197486535008976
"CEB08",0.0133734146919725,-0.0308788598574822,3.56446747837076e-17,0.0159455248342206,-0.101394169835234,0.0146662818626107,NA,-0.000157797151761408,0.0176549329770164,0.0524242484990596,-0.00847918207562203,-0.0558930741190765,0.00448522614441745,-0.00330412297083751,0.0306558719184936,0.0434710680159264,0.0445299615173172,0.0285075461151482,0.037665762936261,0.0375639601102177,0.0634671068077205,0.0277427044121638,-0.0444711538461538,-0.035756853396901,0.00269316403021789,-0.0165339749267077,-0.0993042378241619,0.0197405527354766,0.0319034241652041,0.0242973396992763,0.0353366519862347,-0.0558930741190765,0.0567353052339824,0.0153043753682151,-0.0169689877121123
"CEB09",0.0212711943158489,-0.00931505462948514,-0.0470737913486005,0.0190630319740347,0.0231454005934719,0.0681339047839685,-0.000157797151761408,NA,0.0191754697516641,0.0144470788329001,-0.014982685912161,-0.0217256362507759,0.0123577805006127,0.0418495130043883,0.00756958642021398,0.0142224739084884,0.0737197523916714,0.0266114725014785,0.0428772037771239,0.00169703649742229,0.0782937836657447,0.0409698896568566,-0.0104358502148557,-0.0633074935400516,0.00867914829679129,-0.0242917391116336,-0.109912339851652,0.074761101742552,0.0203558968264193,0.0132123629062883,0.0286500465243912,-0.0365239294710327,0.0600500041777269,-0.00659021696159017,0.0507497116493657
"CEB10",0.0593861121707172,0.00225255068239039,0.0411280846063455,0.0902476767114377,0.03886925795053,0.0740354535974974,0.0176549329770164,0.0191754697516641,NA,0.0820477611315041,0.072480181200453,0.0674285714285714,0.0987444415380591,0.0484631340750519,0.081062630209866,0.0753487045012255,0.120689655172414,0.0695553021664766,0.0867890614969829,0.013774467804653,0.0780958834490937,0.136698212407992,0.0511627906976744,0.0377358490566038,0.0505742596912282,0.0453837592287413,0.0274135876042908,0.115926327193933,0.0912425175402014,0.0819437028191604,0.0530211399329309,0.0706150341685649,0.0429302875147696,0.0133220480337406,0.112078346028292
"CEB11",0.0378694067532331,0.0535100558052169,0.0676802354095146,0.0772019277558155,0.0582115432251673,0.0600413921922375,0.0524242484990596,0.0144470788329001,0.0820477611315041,NA,-0.0347742407950242,0.0836346107495783,0.025945692218441,0.0740847519315426,0.0387795107641213,0.0317623895635212,0.111370807526002,0.0780795344325898,0.0531792124549482,0.00388923208783707,0.104250270252876,0.0288841379476023,-0.032030401737242,-0.0581686612858335,0.0149550950231923,0.0243121176433796,0.00989583333333343,0.102031176192726,0.0227843427044637,-0.0196405740450025,0.0201854229526397,-0.0187566988210074,0.0540543481099148,0.0333591995557617,0.121534195933457
