"","CEB01","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB19","CEB20","CEB22","CEB23","CEB24","CEB26","CEB27","CEB33","CEB35","LEY04","LEY05","LEY10","LEY13","LEY14","LEY15"
"CEB01",NA,0.0485301785999687,0.0426474447034127,-0.00974473361623544,-0.00979259862338252,0.0254773025119362,0.0113726637633473,0.0417277974071359,0.0179742849645763,0.010752688172043,-0.0171990171990172,0.0537142857142857,0.0215780579747823,-0.0629011553273427,0.065630619059851,-0.00852618757612666,0.0537142857142857,0.0738255033557047,-0.0467762326169406,-0.0141020323517212,0.0131108462455304,0.0690351139682909,0.0252896386054799,0.0923869944488501
"CEB05",0.0485301785999687,NA,0.0124712050202558,-0.00659132655346983,0.0126201443268497,0.0218158597773001,0.0205233091191198,0.00746567006986627,0.0327658496318031,0.014475271411339,0.0992282249173099,0.0227272727272728,0.0292773602641821,-0.0168014934660858,0.0686511744840707,-0.0263819095477387,0.0957387935805202,0.0325636471284784,0.0273809523809524,0.0275906039429436,-0.0328697850821744,0.0572122788463019,0.062893474293547,0.0515632597303368
"CEB06",0.0426474447034127,0.0124712050202558,NA,-0.00912531456020846,0.0339563843639703,0.030852298792399,0.0338780390593862,0.0427786180951474,0.0726411072942003,0.0775915580384855,0.136046511627907,0.134032634032634,0.0597764944123603,0.0223684210526316,0.0897588923370733,0.00933333333333338,0.17718715393134,0.0922419059254735,0.125367863449088,0.0732161297313836,0.0437580437580438,0.0739816705137505,0.0408475553455548,0.0768184800739962
"CEB07",-0.00974473361623544,-0.00659132655346983,-0.00912531456020846,NA,0.023266843891621,0.00258431076002136,0.000859439601416569,0.0356373296272222,0.00761718345618449,-0.0355789216285608,0.0181986785672889,-0.000590667454223151,0.0267539035550001,-0.0305389950115584,0.0376401167763434,-0.0328008779417143,0.0517241379310346,0.0155741515574153,-0.00821330793953088,0.0220346681544526,-0.0567685589519649,0.0430120943662866,0.0242909204093014,0.0554850345436383
"CEB08",-0.00979259862338252,0.0126201443268497,0.0339563843639703,0.023266843891621,NA,-0.0330018025551921,-0.0220044007347963,-0.00333883332289993,-0.0292789480446901,-0.0932684509326844,0.00158713363665231,-0.0341955282770713,-0.0164946313858096,-0.127629063097514,0.014772933235172,-0.145701796988829,0.0121440536013401,-0.0297937356760885,-0.070083919256067,-0.0529807604507347,-0.0664556962025315,0.0121581366594633,-0.00259628749413168,0.0291370603254889
"CEB09",0.0254773025119362,0.0218158597773001,0.030852298792399,0.00258431076002136,-0.0330018025551921,NA,-0.023479192113702,0.00543791315796694,-0.0139797680056238,0.0113216266173753,-0.0396015549076773,0.0124624971151628,0.0290997462700165,-0.0340744320927983,0.02929337583471,-0.0404863221884497,0.0481592703814927,0.0263936291240046,-0.036956258330304,0.0115579378144087,-0.00789070780826747,0.0162039620235448,0.0297407913886565,0.0412621625071667
"CEB10",0.0113726637633473,0.0205233091191198,0.0338780390593862,0.000859439601416569,-0.0220044007347963,-0.023479192113702,NA,-0.00128578832822779,-0.0520944831193916,-0.0639769452449567,0.044018643190057,-0.0695249130938586,-0.0383095732173488,-0.125609756097561,0.0071993637109692,-0.0597014925373134,-0.0126165660998354,0.0159914712153518,-0.0707656612529002,-0.0185472688702165,-0.181818181818182,0.00764789251019138,-0.00633854506916821,0.00531568196219613
"CEB11",0.0417277974071359,0.00746567006986627,0.0427786180951474,0.0356373296272222,-0.00333883332289993,0.00543791315796694,-0.00128578832822779,NA,-0.010776039506449,0.0844474917152327,0.024592159727295,-0.0395744128714154,0.0127641252226448,0.0206576213176875,0.0328317759647687,-0.0452707110241355,0.0652199276630499,0.0549657938192971,-0.0150766501963764,0.00847710816224829,0.0320164310740608,0.0293293156491059,0.0271418150747968,0.0492547698919638
"CEB12",0.0179742849645763,0.0327658496318031,0.0726411072942003,0.00761718345618449,-0.0292789480446901,-0.0139797680056238,-0.0520944831193916,-0.010776039506449,NA,-0.0703125,0.0927152317880795,0.0249110320284698,-0.0224809313528703,-0.127572016460905,0.00355969331872951,-0.141666666666667,-0.0579150579150579,0.017921146953405,-0.0498084291187739,-0.00907441016333938,-0.136929460580913,-0.00166260050175891,-0.0224756099923166,-0.00384957062481488
"CEB19",0.010752688172043,0.014475271411339,0.0775915580384855,-0.0355789216285608,-0.0932684509326844,0.0113216266173753,-0.0639769452449567,0.0844474917152327,-0.0703125,NA,NA,NA,0.0117370892018779,NA,0.0685579196217494,NA,NA,NA,NA,0.0533807829181495,NA,0.0640750670241286,-0.0315552216378661,0.157262905162065
"CEB20",-0.0171990171990172,0.0992282249173099,0.136046511627907,0.0181986785672889,0.00158713363665231,-0.0396015549076773,0.044018643190057,0.024592159727295,0.0927152317880795,NA,NA,NA,0.0634037819799778,NA,0.116591928251121,NA,NA,NA,NA,0.122112211221122,NA,0.0818292402275043,0.0867974725640174,0.177022274325909
"CEB22",0.0537142857142857,0.0227272727272728,0.134032634032634,-0.000590667454223151,-0.0341955282770713,0.0124624971151628,-0.0695249130938586,-0.0395744128714154,0.0249110320284698,NA,NA,NA,-0.0108043217286915,NA,0.0837209302325582,NA,NA,NA,NA,-0.027027027027027,NA,0.0559442923300544,0.0535386029411766,0.114754098360656
"CEB23",0.0215780579747823,0.0292773602641821,0.0597764944123603,0.0267539035550001,-0.0164946313858096,0.0290997462700165,-0.0383095732173488,0.0127641252226448,-0.0224809313528703,0.0117370892018779,0.0634037819799778,-0.0108043217286915,NA,-0.0525,0.00981446625436944,-0.0739795918367347,0.032183908045977,0.0507328072153326,0.00355029585798818,0.0467145790554415,-0.0631313131313131,0.0399189437711053,-0.00802811663150542,0.0132252559726962
"CEB24",-0.0629011553273427,-0.0168014934660858,0.0223684210526316,-0.0305389950115584,-0.127629063097514,-0.0340744320927983,-0.125609756097561,0.0206576213176875,-0.127572016460905,NA,NA,NA,-0.0525,NA,0.00505050505050506,NA,NA,NA,NA,-0.064,NA,0.0378281540687659,-0.00881704628949289,0.119196988707654
"CEB26",0.065630619059851,0.0686511744840707,0.0897588923370733,0.0376401167763434,0.014772933235172,0.02929337583471,0.0071993637109692,0.0328317759647687,0.00355969331872951,0.0685579196217494,0.116591928251121,0.0837209302325582,0.00981446625436944,0.00505050505050506,NA,0.0619047619047619,0.031941031941032,0.0247524752475248,0.0271604938271605,0.027546706668485,-0.00767263427109973,0.0149921268188388,0.0141716660392205,0.0231749710312862
"CEB27",-0.00852618757612666,-0.0263819095477387,0.00933333333333338,-0.0328008779417143,-0.145701796988829,-0.0404863221884497,-0.0597014925373134,-0.0452707110241355,-0.141666666666667,NA,NA,NA,-0.0739795918367347,NA,0.0619047619047619,NA,NA,NA,NA,-0.0431372549019608,NA,-0.0492148170411,-0.0606411741985321,0.0677290836653387
"CEB33",0.0537142857142857,0.0957387935805202,0.17718715393134,0.0517241379310346,0.0121440536013401,0.0481592703814927,-0.0126165660998354,0.0652199276630499,-0.0579150579150579,NA,NA,NA,0.032183908045977,NA,0.031941031941032,NA,NA,NA,NA,0.10738255033557,NA,0.011573172889754,0.024511545293073,0.142857142857143
"CEB35",0.0738255033557047,0.0325636471284784,0.0922419059254735,0.0155741515574153,-0.0297937356760885,0.0263936291240046,0.0159914712153518,0.0549657938192971,0.017921146953405,NA,NA,NA,0.0507328072153326,NA,0.0247524752475248,NA,NA,NA,NA,0.0291970802919708,NA,0.0628187919463087,0.0378416257883673,0.173144876325088
"LEY04",-0.0467762326169406,0.0273809523809524,0.125367863449088,-0.00821330793953088,-0.070083919256067,-0.036956258330304,-0.0707656612529002,-0.0150766501963764,-0.0498084291187739,NA,NA,NA,0.00355029585798818,NA,0.0271604938271605,NA,NA,NA,NA,0.0600706713780919,NA,0.0652028383987146,0.0591594335312929,0.132262051915946
"LEY05",-0.0141020323517212,0.0275906039429436,0.0732161297313836,0.0220346681544526,-0.0529807604507347,0.0115579378144087,-0.0185472688702165,0.00847710816224829,-0.00907441016333938,0.0533807829181495,0.122112211221122,-0.027027027027027,0.0467145790554415,-0.064,0.027546706668485,-0.0431372549019608,0.10738255033557,0.0291970802919708,0.0600706713780919,NA,0.0431654676258993,0.0422266207355725,0.0404629771415597,0.0260946483856701
"LEY10",0.0131108462455304,-0.0328697850821744,0.0437580437580438,-0.0567685589519649,-0.0664556962025315,-0.00789070780826747,-0.181818181818182,0.0320164310740608,-0.136929460580913,NA,NA,NA,-0.0631313131313131,NA,-0.00767263427109973,NA,NA,NA,NA,0.0431654676258993,NA,-0.0448185559296671,-0.0331075996990217,0.0799475753604194
"LEY13",0.0690351139682909,0.0572122788463019,0.0739816705137505,0.0430120943662866,0.0121581366594633,0.0162039620235448,0.00764789251019138,0.0293293156491059,-0.00166260050175891,0.0640750670241286,0.0818292402275043,0.0559442923300544,0.0399189437711053,0.0378281540687659,0.0149921268188388,-0.0492148170411,0.011573172889754,0.0628187919463087,0.0652028383987146,0.0422266207355725,-0.0448185559296671,NA,-0.0121448065338798,0.0183699156854637
"LEY14",0.0252896386054799,0.062893474293547,0.0408475553455548,0.0242909204093014,-0.00259628749413168,0.0297407913886565,-0.00633854506916821,0.0271418150747968,-0.0224756099923166,-0.0315552216378661,0.0867974725640174,0.0535386029411766,-0.00802811663150542,-0.00881704628949289,0.0141716660392205,-0.0606411741985321,0.024511545293073,0.0378416257883673,0.0591594335312929,0.0404629771415597,-0.0331075996990217,-0.0121448065338798,NA,-0.00979427360353976
"LEY15",0.0923869944488501,0.0515632597303368,0.0768184800739962,0.0554850345436383,0.0291370603254889,0.0412621625071667,0.00531568196219613,0.0492547698919638,-0.00384957062481488,0.157262905162065,0.177022274325909,0.114754098360656,0.0132252559726962,0.119196988707654,0.0231749710312862,0.0677290836653387,0.142857142857143,0.173144876325088,0.132262051915946,0.0260946483856701,0.0799475753604194,0.0183699156854637,-0.00979427360353976,NA
