"","CEB01","CEB02","CEB04","CEB05","CEB08","CEB09","CEB11","CEB15","CEB16","CEB19","CEB20","CEB22","CEB24","CEB25","CEB26","CEB27","CEB29","CEB35","LEY05","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB01",NA,-0.134328358208955,-0.0692431561996779,0.012987012987013,0.0557377049180328,-0.196850393700787,0.022508038585209,0.05,-0.125925925925926,-0.00158478605388273,-0.101449275362319,0.0314465408805031,0.0187344504061629,0.0171988391665508,0.000962463907603501,0.0547690775838817,-0.129533678756477,0.0568978081731039,-0.0165016501650165,-0.0780141843971631,-0.173745173745174,-0.105454545454545,-0.216,-0.134328358208955,-0.0487012987012987,0.0964905810677249
"CEB02",-0.134328358208955,NA,-0.0792079207920792,NA,0.198738170347003,NA,NA,NA,NA,-0.122171945701357,NA,0.0339622641509434,0.0725146198830409,0.0306818181818183,0.0267857142857143,0.0253493503309635,-0.0790378006872852,0.00113765642775882,0.0177935943060498,NA,NA,NA,NA,NA,0.0222222222222222,0.0591016548463357
"CEB04",-0.0692431561996779,-0.0792079207920792,NA,-0.0738916256157636,0.12202852614897,-0.0531400966183575,-0.058252427184466,0,-0.147368421052632,0.0616113744075829,-0.0234741784037559,0.103011093502377,0.0792591431322927,0.0940552683415298,0.0133863965267728,0.0775888715038905,-0.0124610591900312,0.0712260216847373,0.050314465408805,-0.159574468085106,-0.123711340206186,-0.0845771144278607,-0.135416666666667,-0.033175355450237,-0.032967032967033,0.107580427841045
"CEB05",0.012987012987013,NA,-0.0738916256157636,NA,0.0451127819548872,NA,NA,NA,NA,0.0606060606060606,NA,-0.0491803278688525,0.0191713048855906,0.0630492091388401,-0.00229885057471263,0.00174372051368612,-0.0228013029315961,0.0985626283367556,-0.0260223048327138,NA,NA,NA,NA,NA,-0.122448979591837,0.0484160191273162
"CEB08",0.0557377049180328,0.198738170347003,0.12202852614897,0.0451127819548872,NA,0.0557620817843866,0.127147766323024,0.124137931034483,0.0342205323193916,0.0600343053173242,0.121107266435986,0.0390070921985816,0.123311120621141,0.00511464336220818,0.0207924676343665,0.0485977083281373,-0.0194690265486726,0.0546697038724374,-0.0168855534709193,0.0763636363636364,0,0.108771929824561,-0.00395256916996047,0.147651006711409,0.0507880910683012,0.0345984090435108
"CEB09",-0.196850393700787,NA,-0.0531400966183575,NA,0.0557620817843866,NA,NA,NA,NA,-0.0973451327433628,NA,-0.0987124463519313,-0.0225660863958736,-0.111980185112762,-0.0647130647130647,-0.0212904422783256,-0.0753424657534247,0.0211817168338908,-0.117408906882591,NA,NA,NA,NA,NA,-0.170212765957447,-0.0364583333333333
"CEB11",0.022508038585209,NA,-0.058252427184466,NA,0.127147766323024,NA,NA,NA,NA,0.0534351145038168,NA,0.0889679715302491,0.126651982378855,0.0994510135135136,0.0289532293986637,0.0930626915306994,-0.00319488817891374,0.104994903160041,0.14018691588785,NA,NA,NA,NA,NA,-0.0232558139534884,0.137127371273713
"CEB15",0.05,NA,0,NA,0.124137931034483,NA,NA,NA,NA,0.0981818181818182,NA,0.126279863481229,0.100397050482133,0.0892590219944481,0.101956745623069,0.083374108810321,0.0484848484848485,0.102249488752556,0.0860927152317881,NA,NA,NA,NA,NA,0.0434782608695652,0.103603603603604
"CEB16",-0.125925925925926,NA,-0.147368421052632,NA,0.0342205323193916,NA,NA,NA,NA,-0.112107623318386,NA,-0.080168776371308,0.0299694189602447,-0.0215568862275448,-0.00809248554913294,-0.0407329842931937,-0.101754385964912,0.022271714922049,-0.117408906882591,NA,NA,NA,NA,NA,-0.182795698924731,0.0501193317422435
"CEB19",-0.00158478605388273,-0.122171945701357,0.0616113744075829,0.0606060606060606,0.0600343053173242,-0.0973451327433628,0.0534351145038168,0.0981818181818182,-0.112107623318386,NA,-0.0598290598290598,-0.033457249070632,-0.0293206881713172,0.0114393379290153,0.00588536335721601,0.00482039959499993,-0.00657894736842105,-0.0102988563846591,-0.037567084078712,0,-0.0689655172413793,-0.092511013215859,0.0197628458498024,-0.0122448979591837,-0.0106007067137809,-0.00126732977456889
"CEB20",-0.101449275362319,NA,-0.0234741784037559,NA,0.121107266435986,NA,NA,NA,NA,-0.0598290598290598,NA,0.026615969581749,0.0393700787401575,0.0176206380283313,-0.0246768507638073,-0.0209990155373882,-0.15018315018315,-0.052757793764988,-0.0222222222222222,NA,NA,NA,NA,NA,-0.0784313725490196,0.00686213349968812
"CEB22",0.0314465408805031,0.0339622641509434,0.103011093502377,-0.0491803278688525,0.0390070921985816,-0.0987124463519313,0.0889679715302491,0.126279863481229,-0.080168776371308,-0.033457249070632,0.026615969581749,NA,0.0488532247439967,-0.00970373200317734,0.0120636550308009,0.0143338161195445,0.00326797385620915,-0.00877963125548724,-0.0353356890459364,0.037593984962406,-0.0711297071129707,-0.0448979591836735,-0.137777777777778,-0.0158730158730159,-0.0072463768115942,0.0555026241421074
