"","CEB01","CEB02","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB16","CEB18","CEB19","CEB21","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY11","LEY13","LEY15"
"CEB01",NA,-0.00655295068561449,-0.0109184033368603,-0.00459279828681606,-0.00781557662597311,2.11333996076372e-05,-0.000271122506682944,0.0029079340011928,-0.000701161810306795,0.00180992808153355,-0.0120990309985311,-0.01052920291953,-0.00504613206398268,-0.00799563290204533,0.00354938906184818,-0.00454195970928772,0.0176415556644541,0.0125038993740917,-0.00248004281654463,0.00472029777714199,-0.00819345548628298,-0.00381032989392435,-0.00438970553645364,-0.0369921447052515,-0.000292671944767465,0.00272444107614432,-0.00316120629272327,-0.0179933414043583,-0.0134316284323152,-0.00128941013341259,0.00107666861748751,0.00246836293860534,0.0218009340125267,-0.00416410780466752,-0.00449937415003065,-0.00598456771371278
"CEB02",-0.00655295068561449,NA,0.00456621004566215,-0.0110299070819982,-0.0161290322580645,0.00217565421405069,0.0020102864415599,-0.00547250138826884,-0.00228234708274542,-0.00629501171367178,-0.0141964651051386,-0.0177141096734442,-0.00205037021484596,-0.00388605872191089,0.00475078867673497,-0.00752001010485389,0.0252212389380531,4.24181393541628e-06,0.0017999100044998,0.0166999714530403,-0.00904536949243559,0.00360029673143297,0.000461246562466527,-0.002714113389626,0.00627802690582965,-0.00163462680966042,0.00273550454690036,0.00857017286844423,0.00593226702710826,-0.00194226315169584,-0.00945240208791532,-0.00585296429652589,0.0385526599181564,0.00167958526778107,-0.00676170972356615,0.0149253731343284
"CEB04",-0.0109184033368603,0.00456621004566215,NA,-0.00330115423335954,0,-0.0173878695406349,-0.000659523125984416,0.00413087870804822,0.0130862329803329,-0.00686112271904164,-0.00956719817767654,0,-0.012371756185878,0.0113189371437746,0.0104032196825879,-0.00308787514640782,0,-0.0130810366104484,0,0.00766087844739534,-0.0169881717869334,-0.00721385059313883,-0.00868823209991462,0,0,0.0186581608163139,-0.0162506898877782,0,0,-0.00282604190055099,-0.00376585630977015,-0.00288365564636126,0,-0.0103415857098088,-0.00129923045580687,0
"CEB05",-0.00459279828681606,-0.0110299070819982,-0.00330115423335954,NA,-0.0107992369681161,-0.00430597808717507,0.00586289333424215,-0.00125714775022757,6.06663905534266e-05,0.00150663689760618,-0.00473483206358202,-0.0275672497894719,-0.000271762029535599,0.0023751637859336,0.00707916317950632,-0.0057933494967618,0.0235183727828562,0.0137831158023172,0.00455218896573964,0.00615976620420748,-0.0137378190676058,-0.00531384308825003,-0.0015540277468555,-0.0133044771239285,0.0115841275394949,0.00773285468468421,-0.00168934895499156,-0.00278385819865301,0.00210302512075069,-0.00588311484332905,-0.00178097208246475,-0.00175359965016951,0.0383788717465552,0.00330192662117236,-0.00699488309811618,-0.00878891005026689
"CEB06",-0.00781557662597311,-0.0161290322580645,0,-0.0107992369681161,NA,-0.00838576014449308,-0.0330659021249297,-0.00933557282918634,0.0076745399001565,-0.0204249052721472,-0.010031953630081,0,-0.0324070568637843,0.0168802750859644,-0.00389010083751581,-0.0217079365566562,0,-0.0109765021546467,0,0.0148820069449366,-0.000538876058506521,-0.000931966449207828,-0.023378640776699,0,0,0.0112029073662003,-0.0117438043903761,0,0,-0.0090402066578767,-0.00722721470204371,-0.00460586681323906,0,-0.00616190402834472,-0.00821355236139625,0
"CEB07",2.11333996076372e-05,0.00217565421405069,-0.0173878695406349,-0.00430597808717507,-0.00838576014449308,NA,0.00956667970675053,0.000282467102525018,-0.0011004957703193,0.00105477694311502,-0.0142883501568343,-0.0200155805289666,0.00484763219512109,-0.00252925162113589,0.00820106811892391,0.00375336706821918,0.0282427625619537,8.74438570690583e-05,0.00398640110716651,0.00480081927031589,-0.00837993637752865,-0.00194232302257471,0.00400160440527068,-0.028029589362655,-0.00661650724034933,0.00544395628203651,0.0101836424294227,-0.00703771918003082,-0.0229781186520533,0.00638688123748223,0.0011620356726213,0.00673476649434756,0.0384163948355692,-0.00301842316193518,0.00310100954111548,-0.00548479492961178
"CEB08",-0.000271122506682944,0.0020102864415599,-0.000659523125984416,0.00586289333424215,-0.0330659021249297,0.00956667970675053,NA,0.0015540567403645,0.00229856292148442,0.00131112241700713,-0.0109137408529354,-0.0187694453805221,0.00286933875089919,-0.00778391514397811,0.0144862781909162,0.00256936512516175,0.0170394602020448,-0.00549840116588066,0.0200325340402458,0.00708072257331185,-0.0056464683587439,-0.00828915718746773,-0.00536326845554008,-0.0224684855068499,0.00834597875569046,0.00383512764438151,-0.000128280545503938,-0.010020806560186,-0.00739284248987836,0.00341505418351034,-8.15510552267082e-05,-6.104005285054e-05,0.0346328622479743,-0.00230150037648813,-0.00410299781623226,0.00997775076266717
"CEB09",0.0029079340011928,-0.00547250138826884,0.00413087870804822,-0.00125714775022757,-0.00933557282918634,0.000282467102525018,0.0015540567403645,NA,0.00198444045907825,-0.00245463231931854,-0.00407298303246358,-0.014206446027311,-0.00344768424946863,-0.00748154687453697,0.0109364623512348,-0.00537002406808264,0.0373980818040925,0.0129503344775106,0.00851658047784923,0.00386985337946713,-0.0104615843560686,-0.00304640722438644,-0.00972979013917121,-0.00694525278392113,0.0111003455983888,0.00202326990369,0.0115496142025012,0.0048915145494119,-0.000658838119598472,0.00328617776036774,-0.000117908859081114,0.00115821152288995,0.0575294517526415,0.00612310731779972,-0.00538774361896276,0.0137567921766388
"CEB10",-0.000701161810306795,-0.00228234708274542,0.0130862329803329,6.06663905534266e-05,0.0076745399001565,-0.0011004957703193,0.00229856292148442,0.00198444045907825,NA,0.000322969926460257,-0.00876280486134342,0.000984923100234916,0.00389654129719182,0.00361135842244325,0.0128209986171689,-0.00115167718593936,0.0202275600505689,0.00614392265053877,0.00388814116943326,0.00538283444336657,-0.00888407697445327,-0.0113841243905608,0.0026570944421606,-0.0154760997179233,0.0228655185049469,0.007385876377163,0.00443928083691585,0.00147383935151073,0.015090392947856,0.00197939806035224,-0.00106530159737451,-0.00260638090353794,0.0360132794457275,0.0085131574558917,-0.00288598788565508,0.0141636690647482
"CEB11",0.00180992808153355,-0.00629501171367178,-0.00686112271904164,0.00150663689760618,-0.0204249052721472,0.00105477694311502,0.00131112241700713,-0.00245463231931854,0.000322969926460257,NA,-0.0148639363473671,-0.00442138042989388,-0.00280918211189022,-0.00978401383243243,0.0117652063242746,8.00715938275056e-05,0.0237107303822959,-0.00130475923055726,0.0141907931105499,0.00804276071133983,-0.0140930882737334,-0.00477896565999375,-0.00465732418661869,-0.0183547749412085,0.000483292437952816,0.00386077132028822,-0.00428523860748034,-0.0108191891485148,-0.00544647504002811,-0.00048437682971161,-0.00421432094126895,0.00187874009922978,0.0379062605471867,-0.00258330607506876,-0.00154699009395115,0.00442252139673122
"CEB12",-0.0120990309985311,-0.0141964651051386,-0.00956719817767654,-0.00473483206358202,-0.010031953630081,-0.0142883501568343,-0.0109137408529354,-0.00407298303246358,-0.00876280486134342,-0.0148639363473671,NA,-0.0286063010145701,-0.0182430836366988,0.00227773137954597,-0.00226049776662405,-0.00888245070473653,0.0175901495162709,-0.00999167360532889,0.00617011899515205,0.00210233598195816,-0.00635492285806615,-0.0104727935038324,-0.0106094309227305,-0.0342413635671892,0.00221075902726603,-0.00783056979574283,-0.00421949824198284,0,-0.0305396096440873,-0.000966367553906416,-0.00413091834257717,-0.00270816335545405,0.0295933574622099,0.000487998978956018,-0.0069462724063316,-0.009694145938228
"CEB13",-0.01052920291953,-0.0177141096734442,0,-0.0275672497894719,0,-0.0200155805289666,-0.0187694453805221,-0.014206446027311,0.000984923100234916,-0.00442138042989388,-0.0286063010145701,NA,-0.0196491756380335,0.00407445873611888,-0.0208775518079728,-0.017896148687488,0,-0.0112899351429258,0,0.00684339432358454,-0.0237138580319861,-0.0236524537409493,-0.0312106918238993,0,0,0.00218592886362929,-0.0169955514999429,0,0,-0.00579120632896124,-0.0227363570101808,-0.0168322638354675,0,-0.024200518582541,-0.0196264591439688,0
"CEB14",-0.00504613206398268,-0.00205037021484596,-0.012371756185878,-0.000271762029535599,-0.0324070568637843,0.00484763219512109,0.00286933875089919,-0.00344768424946863,0.00389654129719182,-0.00280918211189022,-0.0182430836366988,-0.0196491756380335,NA,-0.00499164423922304,0.00968441453398521,0.00116693728200144,0.0108488491423545,0.00888966733146402,-0.0135346173867777,0.00626721086348508,-0.00114231223863396,-0.0100160691861233,-0.00165013895250672,-0.0321385359951602,-0.0115769944341372,0.00325474462791082,-0.00755511038245026,-0.0238677636943147,-0.00997543363358886,0.00162746959916153,-0.00091862744017246,0.00271855956107457,0.0289865343727853,-0.00549029045892808,-0.00967329996348329,-0.00686106346483699
"CEB16",-0.00799563290204533,-0.00388605872191089,0.0113189371437746,0.0023751637859336,0.0168802750859644,-0.00252925162113589,-0.00778391514397811,-0.00748154687453697,0.00361135842244325,-0.00978401383243243,0.00227773137954597,0.00407445873611888,-0.00499164423922304,NA,0.0082409819823606,-0.00582598149046692,0.0491126070991432,0.0147376694831991,0.00526315789473684,-0.000791663780392444,-0.0169056235528495,0.00222092343658679,0.00841997457447923,0.0168961201501877,0.0303217344340714,-0.00172452572282135,-0.00467783162871493,0.00784374038757306,0.0143766203158143,-0.000546202108784557,0.00624581958934449,-0.0079917199432768,0.0725947521865889,-0.00862999294381335,-0.00436691439118423,0.019774011299435
"CEB18",0.00354938906184818,0.00475078867673497,0.0104032196825879,0.00707916317950632,-0.00389010083751581,0.00820106811892391,0.0144862781909162,0.0109364623512348,0.0128209986171689,0.0117652063242746,-0.00226049776662405,-0.0208775518079728,0.00968441453398521,0.0082409819823606,NA,0.00627140469765379,0.0128994297094234,0.00518304032786413,0.0121670747088063,0.00769321996556802,-0.00715117583817372,0.00600601531556238,-0.000254410982890375,-0.0285860767163298,0.0111949397394498,0.0178550365074653,0.00860144023020446,-0.00860907321455305,-0.00569225398078292,0.0107381381602137,0.0120598536311925,0.00788462317909349,0.0381043362088161,0.00495629401506099,0.00704225870565841,0.00659804697809451
