"","CEB01","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB19","CEB20","CEB22","CEB23","CEB24","CEB26","CEB27","CEB33","CEB35","LEY04","LEY05","LEY10","LEY13","LEY14","LEY15"
"CEB01",NA,-0.00144243107487328,0.00167012116133447,0.00153443505381383,0.00565307750377415,-0.00390602622372016,4.70604530007977e-05,-0.0055404067661088,-0.0012013910844135,-0.0125816365731847,0.030409464830391,-0.0129533678756476,-0.000645060604484182,0.0344732740441918,-0.000462961014473815,0.0222892116561616,0.0120176509247958,0.0237325699510574,0.0146936512337123,-0.00559528358534851,-0.0172230285437832,0.00802422037534799,0.00355530114081268,0.0059794994451271
"CEB05",-0.00144243107487328,NA,-0.00584033801321001,0.00453762431439648,0.000970263431518254,0.00215437679241957,-0.00195527587576107,-0.00885904023473777,-0.00648811091122088,-0.0159052710543058,0.024228045909628,-0.00281917792771626,-2.614475861009e-05,-0.010032368585436,0.00823260944047254,-0.0135930703464827,0.00558659217877096,-0.00337926632373369,-0.0114276577534071,-0.0108383373591823,-0.0133477736293594,-0.0037681158433795,-0.00107033265418459,-0.00753062802678149
"CEB06",0.00167012116133447,-0.00584033801321001,NA,-0.000406774984242127,0.00288450439813628,-0.000101670405433871,-0.0077070889846405,-0.00338978007481773,-0.0073503863667924,-0.0122657518075845,0.0238150454002177,-0.00168960572822005,-0.00301890187955385,-0.00196384694781645,0.00370295045416644,-0.0105265076601988,0.0029510310448466,0.00700451000063269,-0.00882492084864804,-0.00145190931151069,-0.0121987283749815,0.00213338894570138,0.000697020929324899,0.00708268640207145
"CEB07",0.00153443505381383,0.00453762431439648,-0.000406774984242127,NA,0.00731645385003048,0.0042390498191275,0.00205394287310506,-0.00143308046066836,-0.00265686976556462,-0.0180510149597669,0.0088684903452312,-0.00341574947467805,0.000309978596837802,0.00766791266439409,0.00225624787519108,-0.0119697528587236,0.00651310854571072,-0.0163364485981308,7.31729625903695e-05,-0.0085125326456234,-0.0147157816005983,0.00192920219966152,-0.024131642205477,0.00249241387276497
"CEB08",0.00565307750377415,0.000970263431518254,0.00288450439813628,0.00731645385003048,NA,0.00775931417882421,-0.000591462626932534,-0.00209366357901369,0.0107337936502019,-0.00874641185196594,0.0106762240679638,0.00457151564791715,-0.00759667295255834,-0.000631530600528114,0.00620672661544267,-0.0158382347287894,0.00973302880104633,-0.00128048314349049,-0.00226300275744029,-0.000443768045365959,-0.0044768089766744,0.0051782956275915,0.00621293966108287,0.00972026076351833
"CEB09",-0.00390602622372016,0.00215437679241957,-0.000101670405433871,0.0042390498191275,0.00775931417882421,NA,0.00279151177369054,0.00129703520356732,-0.00173904794854319,-0.032726935214405,-0.00304000868573906,-0.0278378553990959,-0.0143772985010756,-0.0260707463154883,-0.00475141879882377,-0.0337516664368133,-0.00985190248348141,-0.0174117990974366,-0.000206047032474774,-0.00945996371064107,-0.0250415205757519,0.00404826255186284,0.00115296542374717,0.00819497364623789
"CEB10",4.70604530007977e-05,-0.00195527587576107,-0.0077070889846405,0.00205394287310506,-0.000591462626932534,0.00279151177369054,NA,-0.0046510012179493,-0.00278886303754948,-0.0280672866418427,0.0101010101010101,-0.00246728562029386,-0.0174433940830092,-0.0181258518223203,-0.00181132854856196,-0.0287417698243919,0.0137904392277354,-0.0196052924998141,-0.0126353625938529,-0.00655818649380539,-0.00972448819696003,-0.00180641038249946,-0.00103779886669186,-0.00953924485362685
"CEB11",-0.0055404067661088,-0.00885904023473777,-0.00338978007481773,-0.00143308046066836,-0.00209366357901369,0.00129703520356732,-0.0046510012179493,NA,-0.00329816698413548,-0.00777561003195064,-0.00083670994368655,-0.0102598596019212,-0.0211744441303622,-0.0253910373284713,0.00033063180615502,-0.0104730679156908,0.00392538038805191,-0.00601356811305503,-0.00361462662868347,-0.000888264557097577,-0.0202292263610315,0.00649964306545946,-0.00237881431108259,0.0033369392864126
"CEB12",-0.0012013910844135,-0.00648811091122088,-0.0073503863667924,-0.00265686976556462,0.0107337936502019,-0.00173904794854319,-0.00278886303754948,-0.00329816698413548,NA,0.0125850657220099,0.0217674418604651,0.00677200902934537,-0.00766943478780181,0.0112170499158721,0.000693503136525585,-0.00893688326196239,-0.00862234144472121,0.0158465387823186,-0.0115699369767661,-0.0231142395129839,-0.0129471564208305,-0.00493042341129636,-0.00570675796870145,-0.00742569144651226
"CEB19",-0.0125816365731847,-0.0159052710543058,-0.0122657518075845,-0.0180510149597669,-0.00874641185196594,-0.032726935214405,-0.0280672866418427,-0.00777561003195064,0.0125850657220099,NA,0,0,-0.00582542516207833,0,-0.0163555897633249,0,0,0,0,0.00334323922734027,0,-0.0133777276503205,-0.0267777532765116,-0.0156438026474127
"CEB20",0.030409464830391,0.024228045909628,0.0238150454002177,0.0088684903452312,0.0106762240679638,-0.00304000868573906,0.0101010101010101,-0.00083670994368655,0.0217674418604651,0,NA,0,0.0177613320999075,0,0.0287536982248521,0,0,0,0,0.0165623849834376,0,0.0128208679411031,0.00551828105079989,-0.0034026117344123
"CEB22",-0.0129533678756476,-0.00281917792771626,-0.00168960572822005,-0.00341574947467805,0.00457151564791715,-0.0278378553990959,-0.00246728562029386,-0.0102598596019212,0.00677200902934537,0,0,NA,0.00557931932304261,0,-0.00284602978844508,0,0,0,0,-0.0107608080045309,0,-0.00925194674975676,0.00667325293119844,0.0034605227210637
"CEB23",-0.000645060604484182,-2.614475861009e-05,-0.00301890187955385,0.000309978596837802,-0.00759667295255834,-0.0143772985010756,-0.0174433940830092,-0.0211744441303622,-0.00766943478780181,-0.00582542516207833,0.0177613320999075,0.00557931932304261,NA,0.00529100529100532,0.00212687401521576,0.00947262956553423,0.00695797383801839,0.0168337779413118,-0.00204005934718099,-0.00219633710636957,-0.00678221552373772,-0.00402278394504279,-0.00987053170731694,-0.00471828463231152
"CEB24",0.0344732740441918,-0.010032368585436,-0.00196384694781645,0.00766791266439409,-0.000631530600528114,-0.0260707463154883,-0.0181258518223203,-0.0253910373284713,0.0112170499158721,0,0,0,0.00529100529100532,NA,-0.000663507109004685,0,0,0,0,-0.00195403368381874,0,-0.0107320399365565,-0.00989407299711102,-0.0179468104891203
"CEB26",-0.000462961014473815,0.00823260944047254,0.00370295045416644,0.00225624787519108,0.00620672661544267,-0.00475141879882377,-0.00181132854856196,0.00033063180615502,0.000693503136525585,-0.0163555897633249,0.0287536982248521,-0.00284602978844508,0.00212687401521576,-0.000663507109004685,NA,0.00270446703347949,0.0157889848611498,0.0093896713615024,-0.00661125802795614,-0.0168734396575678,-0.00275351310292436,0.00152527563524928,0.00102092409662225,0.0136508201697999
