"","CEB01","CEB02","CEB04","CEB05","CEB08","CEB09","CEB11","CEB15","CEB16","CEB19","CEB20","CEB22","CEB24","CEB25","CEB26","CEB27","CEB29","CEB35","LEY05","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB01",NA,-0.00460593654042989,-0.00885282183696053,0.0429417571569595,-0.0103092783505155,-0.0114039533705018,-0.0343886462882096,0.0351476690261167,-0.0102766798418972,0.00803387930497602,-0.0241967473224911,0.0330902972518228,-0.00813847995971582,-0.0103623971768837,0.0170084230964343,0.0804810996000198,-0.0332912988650694,-0.00874270341889004,-0.00347311551324929,0.0121786197564276,-0.0312418640978912,-0.00347112653834017,0.0168152866242038,-0.00969666832421681,0.000565362145863434,0.00734267934575171
"CEB02",-0.00460593654042989,NA,-0.0264760720944686,0,0.0225271879854997,0,0,0,0,0.02023988005997,0,0.00507218103784627,-0.00317912459625114,-0.0159317980172047,0.00289452356142185,0.0891773700403316,-0.0238968264003035,-0.0506983962752198,0.017306245297216,0,0,0,0,0,0.0049001130795326,-0.000426491196003132
"CEB04",-0.00885282183696053,-0.0264760720944686,NA,0.00470162748643761,0.00188205771643664,-0.0207305034550839,-0.0326044258216577,0.0172555464256368,-0.0168498168498168,0.0124736366375414,-0.0308193435229266,0.00333127698951265,-0.0119960698195367,-0.0157762049498276,-0.0202455852209167,0.0576447867422541,-0.0410611998794091,-0.0163210209841698,0.00441230542958696,0.00527240773286467,-0.0402684563758389,-0.0292040465737736,0.00148331273176761,-0.0200184077312471,0.00163289990928334,0.00511858220337611
"CEB05",0.0429417571569595,0,0.00470162748643761,NA,0.0970301791511362,0,0,0,0,0.0862956033676333,0,0.0981792217065334,0.0768781399696227,0.00957070009294386,-0.143199042680495,-0.0481033385030338,0.0242665700833032,0.00539017518069342,0.0575724239090576,0,0,0,0,0,0.0174613003095975,0.0755657585271711
"CEB08",-0.0103092783505155,0.0225271879854997,0.00188205771643664,0.0970301791511362,NA,0.0198212203653323,-0.0318702823595191,0.06298828125,0.0023936170212766,0.012756235323983,-0.0109385550303849,0.00551398188263096,0.00105282636021977,-0.0392654259749349,0.00790018920787881,0.0753358716216843,-0.0257188077024532,-0.0337649760499182,0.0109777235667972,0.061840490797546,-0.0230427166150115,0.033589462129528,0.0268378063010502,0,-0.0124642949883147,0.00406273853199716
"CEB09",-0.0114039533705018,0,-0.0207305034550839,0,0.0198212203653323,NA,0,0,0,0.0199458261511943,0,0.0361805296531145,-0.0148375543617293,-0.0165396194990711,0.0145702902675015,0.0927821603029679,-0.0554908808692278,-0.028363453815261,0.00719787852001515,0,0,0,0,0,-0.0120391271632807,0.00536112282392631
"CEB11",-0.0343886462882096,0,-0.0326044258216577,0,-0.0318702823595191,0,NA,0,0,0.00722708254089007,0,-0.0120320855614973,-0.031163708086785,-0.043954725432948,-0.00878014516506669,0.0461026636664987,-0.0444797458300238,-0.0340588988476312,-0.0106592972759574,0,0,0,0,0,-0.0304568527918782,-0.0297066934068689
"CEB15",0.0351476690261167,0,0.0172555464256368,0,0.06298828125,0,0,NA,0,0.0687129403557726,0,0.0736415633937083,0.0622635099516184,0.0268110274709161,-0.0359174964438122,-0.0380600193295652,-0.00181488203266788,-0.0247221875390186,0.0415512465373961,0,0,0,0,0,0.0494505494505494,0.0457705279096979
"CEB16",-0.0102766798418972,0,-0.0168498168498168,0,0.0023936170212766,0,0,0,NA,0.0239341810022438,0,0.0155440414507772,-0.0217188954390319,-0.0180742348487784,0.00232423009877984,0.0903031053875244,-0.00369276218611521,-0.0333968253968253,0.0266227180527383,0,0,0,0,0,-0.0365950676213206,-0.00238290176334727
"CEB19",0.00803387930497602,0.02023988005997,0.0124736366375414,0.0862956033676333,0.012756235323983,0.0199458261511943,0.00722708254089007,0.0687129403557726,0.0239341810022438,NA,0.0241024353502385,0.00361102312321825,-0.014910249443165,-0.0186737949418595,0.00716881989599403,0.0595935068808314,-0.00957746478873239,-0.0201445388085585,0.0323007518796993,0.0649806814190376,0.00225563909774436,0.0164995147201553,0.0112584438328747,0.00146842878120411,-0.00961598893847024,-0.00673664834898782
