"","CEB01","CEB03","CEB04","CEB06","CEB07","CEB08","CEB09","CEB13","CEB14","CEB15","CEB16","CEB18","CEB19","CEB20","CEB22","CEB23","CEB26","CEB27","CEB29","LEY05","LEY06","LEY11","LEY13","LEY14","LEY15"
"CEB01",NA,-0.00481792717086833,0,-0.0280930441622654,-0.0268718419843822,0,0,0,0.00066386368665634,0,0.000734791252485116,0,0.00817160367722171,0.00156163983417415,0.0120057981919379,-0.153210179563364,0,0,-0.0221130221130221,0.00169204737732657,0,0,0,0,0.0372732270478285
"CEB03",-0.00481792717086833,NA,-0.025918515823936,-0.0116445555521143,-0.00439629262530215,0.021419896212874,-0.012382255492859,0.00790469828545982,0.0178213441358238,0.0538473878402225,-0.0113836041027418,0.0275920561313845,0.0122095410213818,-0.00603528740281743,0.00657619970580178,-0.011720308915171,0.00526461623718483,0.00719472239440363,-0.00700732829853676,0.00370790351780132,0.000612097267820398,0.0139875666074601,-0.0121927705377295,-0.0157529219129354,0.013106490399123
"CEB04",0,-0.025918515823936,NA,-0.03874392861177,-0.0424772648785542,0,0,0,-0.026542800265428,0,-0.0182732195241726,0,-0.00617778286237267,-0.0246356338076697,-0.0158945949314028,-0.0285125386465132,0,0,-0.018679119412942,0.00330105633802817,0,0,0,0,0.0337963469320792
"CEB06",-0.0280930441622654,-0.0116445555521143,-0.03874392861177,NA,-0.0333570233155276,-0.0139482564679415,-0.0319655406937202,-0.0126838028959479,0.0116386255663439,0.0362772619304686,-0.00580606533053453,0.02901858493642,0.00762967665764474,-0.00346452408560527,-0.000346688821281505,-0.0118922237584917,-0.00549692172383461,-0.0102841977219949,-0.019172772784803,-0.0130036175852276,-0.0235912343470483,-0.0389789582614694,-0.0510534846029173,-0.0399138224288468,-0.0166769251769119
"CEB07",-0.0268718419843822,-0.00439629262530215,-0.0424772648785542,-0.0333570233155276,NA,0.00274223034734918,-0.0183878801896612,0.00412276683463124,0.00561001870006233,0.0521536928357879,-0.00231702830111253,0.0375335120643432,0.017725793738256,-0.0020098169406434,0.0116333180445604,-0.0137374126521063,0.0100312082032992,0.00571300548896606,-0.0160263696294612,-0.0107969151670951,-0.017364657814096,0.000341025349550983,-0.0262513125656283,-0.0163524869407222,0.0139979515192899
"CEB08",0,0.021419896212874,0,-0.0139482564679415,0.00274223034734918,NA,0,0,-0.0132822783295441,0,0.0129017228181889,0,0.0228020419739082,-0.0063367876832978,0.0157991426821801,0.0119995514186386,0,0,-0.0183836281651058,0.013959822948587,0,0,0,0,0.00280964645282135
"CEB09",0,-0.012382255492859,0,-0.0319655406937202,-0.0183878801896612,0,NA,0,-0.0277277637738567,0,-0.000133947792253334,0,-0.000573460259203993,0.00138718154033546,0.0145389717525386,0.00891861761426983,0,0,-0.0114247311827957,-0.0105790012512797,0,0,0,0,0.0156853830416004
"CEB13",0,0.00790469828545982,0,-0.0126838028959479,0.00412276683463124,0,0,NA,-0.0136416785760686,0,0.0186750107422628,0,0.0388079617480263,0.0174713003431663,0.0242309220108576,0.0221926320461607,0,0,-0.00641241984475194,0.0159990922500851,0,0,0,0,0.00418896904817314
"CEB14",0.00066386368665634,0.0178213441358238,-0.026542800265428,0.0116386255663439,0.00561001870006233,-0.0132822783295441,-0.0277277637738567,-0.0136416785760686,NA,-0.0618779749026395,0.0245865465152087,0.00423348300192431,0.0450244143871287,0.0168089051975077,0.0272683139902885,0.0179772355118004,-0.0213631739572737,-0.0122249388753056,-0.00287372513664281,-0.00840144024689947,-0.00405131667792032,-0.000351411502869861,-0.0232343081724656,-0.00522466039707419,0.00847995385059129
"CEB15",0,0.0538473878402225,0,0.0362772619304686,0.0521536928357879,0,0,0,-0.0618779749026395,NA,0.0404905812664381,0,0.0554206226540075,0.0404343352525231,0.0422345103844647,0.0397627416520211,0,0,0.0228552500828089,0.0623556581986143,0,0,0,0,0.070509977827051
