"","CEB01","CEB02","CEB03","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB15","CEB16","CEB18","CEB19","CEB20","CEB21","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB01",NA,0.0109627394159211,0.0622434264615782,-0.00588542140011212,0.0020518888940901,0.00819088143788055,-0.000180429313369934,-0.000624156640486675,-0.00376819099025677,-0.000399239288656595,0.00207899948519893,-0.0119122804589494,0.00169763372503268,0.00618291617944509,0.0392544048167191,0.0183104981047818,0.0193365379414054,-0.00174921123586513,0.0358384475380985,0.0151246492003801,0.0121688089742927,-0.00128496330316584,-0.00133091911464825,0.00700287597055863,-0.000723038330207313,0.0308620938371502,-0.00222585164690735,0.0045677340685554,0.0257699279329328,0.000320143522175646,-0.0218679244131018,-0.00604980178009781,0.0209512566599986,-0.00273026603763445,0.0221001465665951,0.0242613205187581,-0.00862748555353842,-0.00584419734874398,-0.00316858852076994,0.00145474852876773,0.0109909368254447,0.00635942700224401
"CEB02",0.0109627394159211,NA,0.121852369682267,-9.05018596640265e-05,0.000996998215931221,0.0500670292411209,0.0165500442933845,0.00681081948249683,0.00747298362295408,0.00742998081930422,0.00342732259109583,-0.00566816683088851,-0.024371875784013,0.00114268456084003,0.0684187204023852,0.0465008386041326,-0.00398929187354536,-0.00172814809574562,0.0839900774500342,-0.00748887845662037,0.0309739930656717,0.0551500653563643,0.00746230089333842,0.00135489339377039,0.0206279282369268,0.0397643527467038,0.0176862521611023,-0.018172871537369,0.00343201390388122,-0.0127090035272336,-0.046973751636964,-0.0391169591317072,-0.00309444728652925,-0.00334082547736208,-4.48110574778673e-05,-0.0113097960879436,0.00775932782051568,0.0226014815569739,-0.00472186536048311,0.0165438666212181,0.0503066599476361,0.0262343193278174
"CEB03",0.0622434264615782,0.121852369682267,NA,0.0372324629846182,0.0911499165862218,0.0325008473162305,0.0631081807554714,0.0801197997559791,0.0713944951513775,0.0983742062225177,0.0995879952138882,0.0970514077490742,0.119734292571484,0.0592449096010987,0.109515970665863,-0.00338088250467839,0.105813085789663,0.0387128354427137,-0.00779386630750697,0.178412132024978,0.00808385484064697,0.0195625336359857,0.079642309486975,0.0847995825964003,0.0625226405383467,0.0763473488127512,0.0207219864961734,0.186278786251943,0.146324022427368,0.0885850876659532,0.158322243127897,0.194585448392555,0.131211658299798,0.071239915141359,0.118641237667075,0.165714424939394,0.129148135477249,0.116773197699087,0.0680213863450404,0.080967141581817,0.0805963587755713,0.0531538185456998
"CEB04",-0.00588542140011212,-9.05018596640265e-05,0.0372324629846182,NA,0.00133967657567845,-0.000686778428326731,-0.00636538790824198,-0.00192418179314263,-0.00601869882485531,0.0058033017170351,0.00812507644754179,-0.0138817991155824,-0.0256885653531568,-0.0114834678192533,0.0206531139854457,-0.00919301834671194,0.0143361426870125,-0.0119029149245066,0.0113437273875345,-0.00875296056018943,-0.0190261681473699,-0.00297221292887309,-0.0136756461221255,-0.0115680621744565,-0.00991786481488402,0.0242784582939595,-0.0295697869240842,-0.0158317957128864,0.0368005896483399,-0.00464530724545259,-0.046311938576971,-0.0288767807348119,0.0272706683023129,-0.00668068509631881,0.0256934479833232,0.0120262067766989,-0.0544049272386933,-0.0106384114200152,-0.0169573389773483,0.00544679423252414,0.0135988383610791,-0.0063054920632228
"CEB05",0.0020518888940901,0.000996998215931221,0.0911499165862218,0.00133967657567845,NA,0.00975985071095811,-0.006644396514345,-0.00560256624075501,-0.00892820489106916,-0.0129724713544828,-0.00824183937073022,-0.0245247459655379,-0.00831766534132467,0.0129564941613604,0.0521886474029469,0.0381910466297186,0.014526646237706,0.000214955622261748,0.0574650026648137,0.0066972586499539,0.027056551493339,0.0265438628704297,0.00931783507106415,0.00780307695347892,-0.00561915185945495,0.0280314946387199,0.0193944748576969,-0.00768353757183715,0.016323618140792,-0.00127919999958342,-0.0247028974531946,-0.0156239954562715,0.0103789007222726,-0.00505763413715161,0.0148407826999843,0.0205811886986914,0.0235871448352836,-0.0149599541894992,0.00129551426114966,-0.00474393642971166,0.0137861153760073,0.00822656121749312
"CEB06",0.00819088143788055,0.0500670292411209,0.0325008473162305,-0.000686778428326731,0.00975985071095811,NA,-0.00247411426006569,0.00486969447045211,-0.00129250699236596,0.00554809457134629,0.0187765284833295,-0.00112180546578989,0.0311193804632681,0.0231080901503611,0.0445924567783906,0.00518864906489667,0.0485470980564944,0.00775468887571079,0.0131248917740103,0.0590399684431892,1.01802050636634e-05,-0.0101685239721108,0.0180945784083614,0.0260819578144413,0.00208887089374816,0.0365050737590919,0.00367554278940646,0.0540901164243579,0.0592530155322754,0.0292473716714625,0.0208394877484794,0.0479727834950009,0.0560025212161168,0.0143273511490963,0.0572064771623695,0.078788989299058,0.0261096136062758,-0.00575991174866869,0.015304333713066,0.0055927414511955,-0.00188208316182577,0.00474305057555268
"CEB07",-0.000180429313369934,0.0165500442933845,0.0631081807554714,-0.00636538790824198,-0.006644396514345,-0.00247411426006569,NA,-0.00398846575303779,-0.006197441994019,-0.00791741413960095,-0.00100397292771698,-0.0226325731626633,0.00813980620808005,0.0172296155092705,0.0461922042659767,0.0221388904425228,0.0181605953122889,0.000597415268372407,0.0333653238413201,0.0168341791555438,0.0162317805016288,0.00795521972008627,0.0141371185641273,0.0174002787330619,-0.000594783041341485,0.0338707951904911,0.0127300293961384,0.00695048763798047,0.02396172555342,0.0108970614857791,-0.0223194477858177,-0.00771223551650513,0.023594791963099,0.00322621310012285,0.0263264372358346,0.0292905063293101,0.0157070003406374,-0.0208875200425058,0.00195584212692181,-0.0042591490540976,-0.000114282244183366,0.00666191221398024
"CEB08",-0.000624156640486675,0.00681081948249683,0.0801197997559791,-0.00192418179314263,-0.00560256624075501,0.00486969447045211,-0.00398846575303779,NA,-0.00375088885362797,-0.00996896468889229,-0.00458969340655761,-0.0181244996301814,0.00313254314713487,0.020234266116801,0.0491991254806326,0.0267374186526983,0.0237000982121577,0.000537568467911764,0.0443368035391147,0.00967897790010763,0.0171016597535218,0.0158385949510799,0.00154560136185258,0.00337572024825378,-0.00178903513266773,0.0269018172033403,0.00785161285087837,0.00810225564121535,0.0256764222271453,-0.0011337828211134,-0.0259583394357695,-0.00244672134008557,0.0235331716315597,0.00230946093017745,0.0255735319273269,0.0223509094605167,-0.0138423932273723,-0.0154770403044303,-0.00468812882188333,-0.00598226027256936,0.00305165459509096,0.00182194130626376
"CEB09",-0.00376819099025677,0.00747298362295408,0.0713944951513775,-0.00601869882485531,-0.00892820489106916,-0.00129250699236596,-0.006197441994019,-0.00375088885362797,NA,-0.00914479727752272,-0.00262930011761005,-0.0169418397204394,-0.00215850036235202,0.0114446773401701,0.0324468381424458,0.0203044271603,0.0191543202733892,-1.32153696078552e-05,0.0405731423716577,0.00527925615459374,0.0130826063953935,0.0112708911369023,-0.000696479738930865,0.00355630726294055,-0.00429704186445933,0.0293243398049789,0.00485066161611337,-0.00724161839350646,0.0195006332205184,0.00128045923074226,-0.0321538467575966,-0.0148757375191817,0.0180501564072968,-0.00378596154526762,0.0210484944698296,0.0259541298911318,-0.00230079674984107,-0.0177484795522992,-0.00471772025828553,-0.00176509461031333,0.00581365863739713,0.00564759613056641
"CEB10",-0.000399239288656595,0.00742998081930422,0.0983742062225177,0.0058033017170351,-0.0129724713544828,0.00554809457134629,-0.00791741413960095,-0.00996896468889229,-0.00914479727752272,NA,-0.0108448697328992,-0.0241427802654114,0.00447230876439958,0.0203434024026707,0.0605561108821432,0.0403759072421883,0.0221945642868921,0.00596527359863703,0.0616885013522752,0.00998304299893377,0.0275193121517324,0.0160871568015024,0.00459225706353508,0.0126830849923918,-0.00516739113688015,0.0342865634750365,0.0231887142853416,0.0143137599624941,0.0193291637259494,0.00396300051464569,-0.00612057634600603,0.0105138822399126,0.018996687933417,0.000811847964514941,0.020424247684677,0.0308722294275307,0.028852793560683,-0.0117125504847089,0.00496124941061045,-0.00904222911416285,0.00634887733536664,0.00844890505461315
