"","x"
"1","LEY15_T16"
"2","LEY13_T16"
"3","LEY13_T08"
"4","LEY13_T04"
"5","LEY11_T19"
"6","LEY07_T02"
"7","LEY06_T18"
"8","LEY06_T16"
"9","LEY06_T15"
"10","LEY06_T10"
"11","LEY06_T09"
"12","CEB16_T09"
"13","CEB14_T06"
"14","CEB12_T01"
"15","CEB11_T17"
"16","CEB11_T03"
"17","CEB11_T14"
"18","CEB11_T02"
"19","CEB10_T18"
"20","CEB02_T04"
"21","CEB18_T01"
"22","CEB11_T18"
"23","CEB14_X12"
"24","CEB12_T09"
"25","CEB09_T14"
"26","CEB09_T13"
"27","CEB09_T11"
"28","CEB35_T06"
"29","CEB08_T12"
"30","CEB08_T11"
"31","CEB08_T10"
"32","CEB06_T13"
"33","CEB11_T01"
"34","CEB16_T02"
"35","CEB11_T11"
"36","CEB13_T09"
"37","LEY11_T13"
"38","LEY13_T12"
"39","CEB08_T07"
"40","LEY06_T17"
"41","CEB01_T09"
"42","CEB04_T12"
"43","CEB29_T11"
"44","CEB07_T09"
"45","CEB01_T03"
"46","CEB18_T08"
"47","LEY04_T13"
"48","CEB02_T07"
"49","CEB07_T19"
"50","CEB27_T16"
"51","CEB19_T20"
"52","LEY06_T03"
"53","LEY05_T06"
"54","CEB02_T02"
"55","CEB25_T17"
"56","LEY04_T14"
"57","CEB19_T12"
"58","CEB35_T11"
"59","CEB05_T07"
"60","LEY05_T18"
"61","CEB05_T14"
"62","CEB05_T16"
"63","CEB33_T16"
"64","LEY06_T11"
"65","CEB24_T19"
"66","CEB05_T17"
"67","CEB05_T20"
"68","CEB19_T06"
"69","CEB25_T11"
"70","CEB22_T19"
"71","CEB26_T11"
"72","CEB01_T19"
"73","CEB01_T01"
"74","CEB25_T10"
"75","CEB07_T08"
"76","CEB09_T03"
"77","CEB14_X13"
"78","LEY06_T13"
"79","CEB07_T20"
"80","CEB27_T20"
"81","CEB18_T10"
"82","CEB18_T17"
"83","LEY04_T07"
"84","LEY02_T02"
"85","LEY06_T19"
"86","CEB19_T03"
"87","LEY04_T12"
"88","CEB01_T05"
"89","CEB21_T01"
"90","LEY11_T15"
"91","CEB22_T15"
"92","LEY04_T19"
"93","CEB19_T09"
"94","CEB10_T08"
"95","CEB23_T15"
"96","CEB35_T04"
"97","CEB24_T16"
"98","CEB24_T17"
"99","CEB26_T02"
"100","LEY06_T01"
"101","LEY05_T14"
"102","CEB35_T08"
"103","CEB27_T08"
"104","CEB10_T15"
"105","CEB33_T13"
"106","CEB32_T01"
"107","CEB33_T08"
"108","CEB33_T10"
"109","LEY06_T08"
"110","LEY13_T03"
"111","LEY01_T01"
"112","LEY04_T11"
"113","LEY04_T15"
"114","LEY05_T01"
"115","LEY05_T12"
"116","LEY05_T15"
