"","pop","taxon1","taxon2","taxon3","taxon4"
"1","LEY15",5,3,2,2
"2","LEY13",3,4,2,2
"3","LEY11",1,0,1,1
"4","LEY07",5,0,1,0
"5","LEY06",1,0,0,1
"6","CEB16",4,0,2,3
"7","CEB14",4,0,0,2
"8","CEB12",4,1,0,0
"9","CEB11",3,5,1,0
"10","CEB10",7,2,0,0
"11","CEB02",2,0,1,0
"12","CEB18",1,0,0,2
"13","CEB09",3,4,1,2
"14","CEB35",2,5,3,0
"15","CEB08",4,5,2,6
"16","CEB06",5,1,0,5
"17","CEB13",1,0,0,3
"18","CEB01",2,3,3,5
"19","CEB04",1,0,4,1
"20","CEB29",3,0,1,1
"21","CEB07",3,5,0,3
"22","LEY04",2,3,0,0
"23","CEB27",3,1,1,1
"24","CEB19",1,2,2,2
"25","LEY05",1,1,2,1
"26","CEB25",4,0,4,0
"27","CEB05",4,1,1,0
"28","CEB33",1,7,0,0
"29","CEB24",1,3,1,0
"30","CEB22",7,1,1,1
"31","CEB26",6,1,10,1
"32","LEY02",12,0,0,0
"33","CEB21",1,0,0,0
"34","CEB23",3,1,0,1
"35","CEB32",5,0,0,0
"36","LEY01",1,0,0,0
"37","LEY14",0,4,1,4
"38","LEY10",0,5,5,0
"39","CEB20",0,1,2,1
"40","LEY09",0,0,2,0
"41","CEB15",0,0,1,1
"42","CEB03",0,0,0,1
